Fractional Basecounts,GC_2
1,0.4606688071397475
2,0.4640427731824118
3,0.4651039399216369
4,0.46567533739660427
5,0.46634196778406617
6,0.4666548759251197
7,0.4671922616456247
8,0.4673351110143666
9,0.4675051697866783
10,0.4675391815411406
11,0.4676344144536352
12,0.4676888332607749
13,0.46798133434915107
14,0.46807656726164565
15,0.4681445907705703
16,0.4682398236830649
17,0.46828744013931217
18,0.46831464954288204
19,0.46834866129734437
20,0.468532324771441
21,0.4685799412276883
22,0.46863436003482806
23,0.4686683717892904
24,0.46869558119286026
25,0.4687295929473226
26,0.4687704070526774
27,0.4687840117544623
28,0.4688112211580322
29,0.4688316282107096
30,0.46887244231606445
31,0.46895407052677407
32,0.46902889638659123
33,0.46906290814105356
34,0.46907651284283847
35,0.469083315193731
36,0.46911052459730085
37,0.46919215280801047
38,0.4692261645624728
39,0.4692465716151502
40,0.4692601763169351
41,0.4692737810187201
42,0.4693281998258598
43,0.4693690139312146
44,0.46940982803656944
45,0.46945744449281673
46,0.4694982585981715
47,0.46951866565084893
48,0.4695458750544188
49,0.46955947975620377
50,0.469607096212451
51,0.4696343056160209
52,0.46968192207226817
53,0.46972953852851546
54,0.4697635502829778
55,0.46979075968654765
56,0.4698043643883326
57,0.4698179690901175
58,0.469926806704397
59,0.4699744231606443
60,0.47002884196778405
61,0.47007645842403134
62,0.47011047017849367
63,0.4701308772311711
64,0.47031454070526774
65,0.4703077383543753
66,0.4703553548106226
67,0.4704097736177623
68,0.4704369830213322
69,0.47047779712668697
70,0.47047779712668697
71,0.4704982041793644
72,0.4705390182847192
73,0.47055262298650413
74,0.470579832390074
75,0.4706070417936439
76,0.4706410535481062
77,0.47069547235524595
78,0.47074308881149324
79,0.4707771005659556
80,0.4708655311275577
81,0.47089274053112756
82,0.47089274053112756
83,0.4709675663909447
84,0.47106279930343925
85,0.47108320635611667
86,0.4712736721811058
87,0.47130768393556816
88,0.4713893121462778
89,0.47140971919895513
90,0.47165460383108404
91,0.4717430343926861
92,0.47179745319982586
93,0.4718314649542882
94,0.471872279059643
95,0.4719335002176752
96,0.4720083260774924
97,0.47208315193730954
98,0.4721511754462342
99,0.4722191989551589
100,0.4723008271658685
101,0.47264094471049195
102,0.4727089682194166
103,0.47277018937744886
104,0.4728382128863735
